"FOODG","FEEDG","OTHERAG","RESOURCE","CONSTRUCT","COWS","FOODMFG","INTERMED","FINALMFG","SERVICES","VALADD"
3400.585,2.768,3.832,13.788,32.054,1138.828,23100.777,59.475,46.912,638.660,27928.322
1.330,8159.198,9.370,32.629,65.398,136349.935,33835.192,480.827,105.587,9686.176,61786.358
5.740,1636.609,11838.931,736.287,822.594,241.788,100117.004,5336.764,44149.629,12099.850,166876.802
3939.811,15927.017,11664.995,740920.816,96203.784,5490.389,24782.036,278837.090,54663.185,500883.002,80650.865
663.000,2944.000,3141.000,40397.000,3035.000,3259.000,8646.000,49038.000,21188.000,442935.000,2068092.000
1247.538,9135.935,3011.039,136.517,162.425,89046.713,367459.472,959.932,1981.632,13545.080,36232.720
19.290,115.997,70.744,1214.368,472.293,110713.855,325389.664,15064.502,9877.317,278911.638,1150151.328
6864.175,40022.758,27269.133,105920.165,765717.475,11142.860,137829.169,1842082.908,919000.504,288804.624,1355941.238
604.906,3857.617,4505.117,20440.629,148758.170,3625.258,71416.153,232971.258,1413705.430,437633.826,2830766.700
15683.624,64427.101,70104.839,231639.800,511924.809,81627.375,290621.532,872981.242,686026.812,3635846.128,1.212097E+7
23936.000,104283.000,212243.000,672510.990,1116143.998,80283.001,508803.997,2202783.012,2017540.057,1.296087E+7,0
